p_s,mean_iterations,stdev_iterations
1,0.1111833333333145,0.0018411533556468072
3.1622776601683795,0.11114999999998117,0.0014158603369784945
10,0.1113416666666478,0.0028640909509480336
31.622776601683793,0.11133611111109226,0.003951323227340385
100,0.11258611111109185,0.009216212482948467
316.22776601683796,0.11482222222220202,0.016052360312585705
1000,0.12280833333331852,0.02789661786992008
3162.2776601683795,0.1525250000000221,0.04161401478892609
10000,0.17973333333335179,0.06041346632648364
31622.776601683792,0.23368055555548745,0.08676073843060589
100000,0.319830555555562,0.11713532452485047
316227.7660168379,0.4429083333333223,0.13580021724809793
1000000,0.6018916666667292,0.13420991478593605
3162277.6601683795,0.7703055555556372,0.10041748885478832
10000000,0.8961916666665808,0.054476914849714606
31622776.60168379,0.962597222222261,0.023495431490524014
100000000,0.9878861111112874,0.013774999439850274
316227766.01683795,1,0
1000000000,1,0
3162277660.1683793,1,0
10000000000,1,0
31622776601.683792,1,0
100000000000,1,0
316227766016.83795,1,0
1000000000000,1,0
