n,p_fail_simulated,p_fail_sampled,p_fail_lower,p_fail_upper,ci_width
1,0.010493716337522496,0.014720314033366044,0.008940642300570886,0.024145223585212407,0.007602290642320761
3,0.010399999999999965,0.013477088948787075,0.005769892459558704,0.031156638640511332,0.012693373090476313
10,0.010683760683760646,0,0,0.03179037682387522,0.01589518841193761
31,0.012142857142857122,0.023809523809523836,0.004215295499100304,0.12321481165248258,0.05949975807669113
100,0.010000000000000009,0.05882352941176472,0.010460130645164267,0.269825452035628,0.12968266069523188
316,0.013000000000000012,0,0,0.2775401687666166,0.1387700843833083
1000,0.008571428571428563,0,0,0.35433884297520657,0.17716942148760328
3162,0.018333333333333313,0,0,0.3903430336530645,0.19517151682653225
10000,0.0050000000000000044,0,0,0.3903430336530645,0.19517151682653225
31622,0.011666666666666714,0,0,0.3903430336530645,0.19517151682653225
100000,0.011666666666666714,0,0,0.3903430336530645,0.19517151682653225
