n,p_fail_simulated,p_fail_sampled,p_fail_lower,p_fail_upper,ci_width
1,0.8991741472172352,0.8963110667996012,0.8759074292228393,0.9136904578728071,0.018891514324983878
3,0.89928,0.9,0.8652018734593163,0.9265773185835167,0.03068772256210012
10,0.8971794871794871,0.8888888888888888,0.8191445023934625,0.9339074267435234,0.05738146217503048
31,0.8916666666666666,0.8809523809523809,0.7499931819289246,0.9480627323498091,0.09903477521044228
100,0.9135294117647059,1,0.8156763396284354,1,0.09216183018578228
316,0.895,1,0.7224598312333834,1,0.1387700843833083
1000,0.9171428571428571,0.8571428571428572,0.48686549668097007,0.9743210440510253,0.24372777368502757
3162,0.8966666666666667,1,0.6096569663469354,0.9999999999999999,0.19517151682653225
10000,0.8866666666666667,1,0.6096569663469354,0.9999999999999999,0.19517151682653225
31622,0.915,1,0.6096569663469354,0.9999999999999999,0.19517151682653225
100000,0.89,1,0.6096569663469354,0.9999999999999999,0.19517151682653225
